year,ABOVEGROUND STORAGE TANK,UNDERGROUND STORAGE TANK
1901,0,3
1903,0,1
1906,0,1
1913,0,1
1915,0,1
1916,0,1
1917,0,1
1918,0,1
1921,0,1
1925,0,4
1927,0,1
1928,0,1
1929,0,1
1930,0,2
1931,0,2
1932,0,1
1934,0,1
1937,0,1
1938,0,1
1939,0,2
1940,0,4
1941,0,5
1942,0,1
1943,0,1
1945,0,16
1946,0,268
1947,0,1023
1948,0,1028
1949,0,918
1950,0,1268
1951,0,1156
1952,0,1224
1953,0,1418
1954,0,1131
1955,0,1078
1956,0,1222
1957,0,1194
1958,0,1252
1959,0,1171
1960,0,647
1961,0,562
1962,0,471
1963,0,481
1964,0,468
1965,0,428
1966,0,449
1967,0,450
1968,0,426
1969,0,384
1970,0,718
1971,0,472
1972,0,298
1973,0,331
1974,0,429
1975,0,342
1976,0,330
1977,0,305
1978,0,335
1979,0,361
1980,0,277
1981,0,314
1982,0,289
1983,0,293
1984,0,329
1985,0,374
1986,0,365
1987,0,343
1988,0,429
1989,0,538
1990,0,578
1991,0,561
1992,0,661
1993,0,80
1994,0,506
1995,0,235
1996,4,45
1997,27,48
1998,65,83
1999,68,72
2000,73,83
2001,91,212
2002,79,448
2003,98,90
2004,102,50
2005,107,237
2006,113,399
2007,65,278
2008,97,123
2009,80,105
2010,71,137
2011,42,104
2012,0,63
2013,0,80
2014,0,28
