original_ADDRESS,original_STREET NUMBER FROM,original_STREET NUMBER TO,original_DIRECTION,original_STREET NAME,original_STREET TYPE,original_TANK TYPE,original_FACILITY ID,original_OWNER,original_FACILITY NAME,original_Tank ID,original_TANK MATERIAL,original_TANK CONSTRUCTION,original_TANK PRODUCT,original_TANK CAPACITY,original_INSTALLATION DATE,original_REMOVAL DATE,original_LAST USED DATE,original_COMMENT,original_DATA SOURCE,original_LATITUDE,original_LONGITUDE,original_LOCATION,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county_code,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
11201 S MUSKEGON AVE,11201,11201,S,MUSKEGON,AVE,UNDERGROUND STORAGE TANK,11201MU1952-04-17,,GATELY'S & PEOPLE STORE,,,,,,04/17/1952,,,WORK BY: H. IVERSON; INSTALL 1-2K GAL GSLN TK                  FINAL  5/12/52,HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
1133 W 34TH ST,1133,1133,W,34TH,ST,UNDERGROUND STORAGE TANK,1133W341995-02-16,,SCHULTE & BURCH BISQUIT COMPANY,,,,,,02/16/1995,,,WORK BY: N/G; SEE 1133 W. 35TH ST,HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
1155 N CICERO AVE,1155,1155,N,CICERO,AVE,UNDERGROUND STORAGE TANK,2043047,See Environmental Permit Dataset,WAREHOUSE,0001,,,HEATING OI,4000,,,," ",DEPT. OF PUBLIC HEALTH,41.90218232320702,-87.74582847721705,POINT (-87.74582847721705 41.90218232320702),0,"4711 West Division Street, Chicago, IL 60651, United States of America",41.9019323,-87.7450572673742,,4711,West Division Street,60651,,Austin,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
118 E 20TH ST,118,118,E,20TH,ST,UNDERGROUND STORAGE TANK,118E20T1958-02-27,,AMERICAN BANK NOTE,,,,,,02/27/1958,,,WORK BY: H & H TANK INSTALLERS; REPLACE 1-500G BENZOL,HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
12900 S METRON DR,12900,12900,S,METRON,DR,UNDERGROUND STORAGE TANK,2029508,See Environmental Permit Dataset,METRON STEEL,0001,,,,400,,,," ",DEPT. OF PUBLIC HEALTH,,,,,,,,,,,,,,,,,,,,,,,
1300 W 79TH ST,1300,1300,W,79TH,ST,UNDERGROUND STORAGE TANK,2040053,See Environmental Permit Dataset,NEW PARK (VACANT LOT),0001,,,,1000,,,," ",DEPT. OF PUBLIC HEALTH,41.75058247389794,-87.65539958196983,POINT (-87.65539958196983 41.75058247389794),22.19928320697023,"1235-1243 West 79th Street, Chicago, IL 60652, United States of America",41.7502857,-87.65526274685948,,1235-1243,West 79th Street,60652,South Englewood,Auburn Gresham,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"13609 W IRVING PARK ",13609,,W,IRVING PARK,,UNDERGROUND STORAGE TANK,13609WI,"See Environmental Permit Dataset ",UPRRAIL/ IRVING PK/ORCHARD ROAD,0002,,,GASOLINE,2000,,,," ",DEPT. OF PUBLIC HEALTH,,,,,,,,,,,,,,,,,,,,,,,
13731 S DOTY AVE,13731,13731,S,DOTY,AVE,UNDERGROUND STORAGE TANK,13731DO1973-12-04,,CID LANDFILL,,,,,,12/04/1973,,,WORK BY: STANDARD TANK; INSTALL 1-10K DIESEL OIL,HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
1400 E 138TH ST,1400,1400,E,138TH,ST,UNDERGROUND STORAGE TANK,2000898,See Environmental Permit Dataset,AMERICAN BRICK CO,0001,,,GASOLINE,12000,,,," ",DEPT. OF PUBLIC HEALTH,,,,,,,,,,,,,,,,,,,,,,,
1414 S ABERDEEN ST,1414,1414,S,ABERDEEN,ST,UNDERGROUND STORAGE TANK,1414ABE1953-09-10,,ABERDEEN PRESS,,,,,,09/10/1953,,,WORK BY: N/G; INSTALL 1-(2.5K) FUEL OIL. COMPLETED 12/1/53,HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
1445 S NEWBERRY AVE,1445,1445,S,NEWBERRY,AVE,UNDERGROUND STORAGE TANK,1445NEW1950-05-29,,LONG TRANSPORTATION COMPANY,,,,,,05/29/1950,,,WORK BY: STANDARD TANK; INSTALL 1-12K GAS,HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
